
84 variables
B08301_019E,Estimate!!Total!!Walked,,predicate-only,,0,int,B08301
B08301_019EA,Annotation of Estimate!!Total!!Walked,,predicate-only,,0,string,B08301
B08301_019M,Margin of Error!!Total!!Walked,,predicate-only,,0,int,B08301
B08301_019MA,Annotation of Margin of Error!!Total!!Walked,,predicate-only,,0,string,B08301
B08301_020E,Estimate!!Total!!Other means,,predicate-only,,0,int,B08301
B08301_020EA,Annotation of Estimate!!Total!!Other means,,predicate-only,,0,string,B08301
B08301_020M,Margin of Error!!Total!!Other means,,predicate-only,,0,int,B08301
B08301_020MA,Annotation of Margin of Error!!Total!!Other means,,predicate-only,,0,string,B08301
B08301_021E,Estimate!!Total!!Worked at home,,predicate-only,,0,int,B08301
B08301_021EA,Annotation of Estimate!!Total!!Worked at home,,predicate-only,,0,string,B08301
B08301_021M,Margin of Error!!Total!!Worked at home,,predicate-only,,0,int,B08301
B08301_021MA,Annotation of Margin of Error!!Total!!Worked at home,,predicate-only,,0,string,B08301
