0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
3276420,,17627,,2827082,,19371,,2478184,,21309,,348898,,13527,,257864,,11849,,53761,,5239,,20786,,2834,,9773,,2019,,6714,,1459,,55020,,5593,,47823,,5211,,917,,683,,843,,909,,5377,,1184,,60,,98,,6174,,1583,,10516,,1583,,25196,,3602,,62452,,5027,,41654,,4597,,248326,,9700,,0400000US04,Arizona
1313514,,12694,,1223075,,12734,,1082408,,12626,,140667,,8885,,106553,,7288,,23197,,4538,,6707,,1520,,1985,,770,,2225,,728,,5291,,1588,,4851,,1546,,260,,320,,0,,206,,69,,123,,111,,184,,65,,119,,1294,,543,,1982,,694,,25361,,3517,,10250,,1849,,46196,,3564,,0400000US05,Arkansas
18730251,,40435,,15609176,,51220,,13767903,,52769,,1841273,,29274,,1359045,,25612,,287662,,11075,,97698,,7068,,58494,,5489,,38374,,4484,,970901,,15634,,570918,,14020,,230337,,9567,,99391,,5528,,50769,,3784,,19486,,2513,,58464,,5958,,51812,,3791,,160661,,7943,,479751,,15458,,211099,,8860,,1188387,,22217,,0400000US06,California
3011612,,15656,,2492767,,18229,,2234342,,19613,,258425,,9067,,193139,,8309,,39576,,4583,,15453,,2341,,7127,,1517,,3130,,1059,,96147,,6052,,65633,,4725,,3810,,1061,,2640,,791,,23785,,2734,,279,,254,,3462,,1105,,7000,,1712,,33968,,3388,,81116,,4739,,22387,,2424,,274765,,9201,,0400000US08,Colorado
463907,,5562,,413832,,6363,,374194,,7126,,39638,,3930,,28163,,3242,,6686,,1714,,2497,,892,,1185,,614,,1107,,735,,10923,,1925,,6104,,1529,,1550,,928,,2729,,1047,,540,,504,,0,,203,,369,,457,,335,,257,,1076,,520,,10504,,1961,,2915,,925,,23953,,3087,,0400000US10,Delaware
385878,,5538,,148486,,5939,,127196,,6075,,21290,,2237,,15948,,1873,,3927,,1023,,965,,459,,18,,44,,432,,343,,131786,,6150,,46287,,5047,,83840,,4642,,1036,,493,,623,,332,,0,,218,,4135,,1067,,951,,381,,15528,,2198,,51806,,2872,,4784,,1348,,28402,,3251,,0400000US11,District of Columbia
376798,,5759,,328841,,6239,,300678,,6101,,28163,,3272,,21761,,3151,,4946,,1507,,679,,277,,123,,147,,654,,444,,10952,,2356,,10944,,2355,,0,,201,,8,,14,,0,,201,,0,,201,,783,,413,,260,,305,,1300,,483,,9138,,2336,,6877,,1956,,18647,,2687,,0500000US21111,"Jefferson County, Kentucky"
698352,,7185,,559000,,8273,,508578,,7185,,50422,,4408,,37735,,3718,,5730,,1167,,3484,,1273,,2579,,904,,894,,541,,45528,,3793,,39146,,3378,,1118,,720,,167,,144,,4990,,1216,,107,,127,,1894,,892,,521,,347,,10873,,1702,,24594,,2870,,7806,,1636,,48136,,3905,,0500000US27053,"Hennepin County, Minnesota"
84549,,2444,,71312,,2732,,59975,,2806,,11337,,1722,,8302,,1561,,2039,,959,,566,,327,,390,,364,,40,,69,,3560,,1006,,3560,,1006,,0,,149,,0,,149,,0,,149,,0,,149,,167,,203,,0,,149,,700,,330,,2989,,923,,1057,,486,,4764,,1057,,0500000US27109,"Olmsted County, Minnesota"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US27139,"Scott County, Minnesota"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US05045,"Faulkner County, Arkansas"
134011,,3675,,124329,,3916,,111258,,4220,,13071,,2655,,9090,,2058,,2611,,959,,824,,626,,546,,407,,0,,206,,222,,263,,76,,91,,146,,247,,0,,206,,0,,206,,0,,206,,0,,206,,251,,204,,744,,380,,1131,,600,,174,,178,,7160,,1690,,0500000US05007,"Benton County, Arkansas"
253441,,5247,,236868,,5164,,217552,,5852,,19316,,2688,,14465,,2392,,2996,,967,,1495,,1011,,156,,155,,204,,250,,1710,,779,,1334,,618,,57,,96,,0,,181,,113,,179,,206,,248,,83,,129,,470,,389,,714,,413,,3092,,1004,,1857,,748,,8647,,1591,,0500000US20173,"Sedgwick County, Kansas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US20045,"Douglas County, Kansas"
